,Taxonomy,Count,Audiences,Audience_Id,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,DataProvider
20,"25752/*180byTwo_DataDirectory*/,30867945/*180byTwo from Anteriad > B2C > Demographic > Education > College Graduate Degree*/",2,"targeting-collegegraduatesindividuals_us-csbo-con_3pofftheshelf_neustar-180-ads_co/de, targeting-collegegraduates_us-csbo-con_3pofftheshelf_neustar-180-ads-alnt_de/im","46459998, 46459859",25752,*180byTwo_DataDirectory*,",30867945",*180byTwo from Anteriad , B2C , Demographic , Education , College Graduate Degree*/,180bytwo
21,"44/*US States & Canadian Provinces*/,259104/*CALIFORNIA*/",2,"CA 1, CA Ex","45974656, 45974655",44,*US States & Canadian Provinces*,",259104",*CALIFORNIA*,,,,,
22,"25752/*180byTwo_DataDirectory*/,30867923/*180byTwo from Anteriad > B2B > Job Seniority > D: Manager*/",2,"abm-na_us-mb_abm_neustar-180-ads_fi_d1rwgyoqaik, test_ABM_audience_NSR_JC_032823","46253426, 46253422",25752,*180byTwo_DataDirectory*,",30867923",*180byTwo from Anteriad , B2B , Job Seniority , D: Manager*,,180bytwo
23,"12160/*Neustar AdAdvisor - Business*/,2965410/*SMALL 8- Business Services*/",2,"targeting-smallbusinessdevelopmentmanagerconsumers_us-csbo-gseries_3pofftheshelf_neustar-ada_em/fi, targeting-sbdminmarketforlaptops_us-csbo-csb_3pofftheshelf_neustar-ada_be/em/im","46475366, 46475363",12160,*Neustar AdAdvisor - Business*,",2965410",*SMALL 8- Business Services*,,,,,adadvisor
24,"37656/*Clickagy Public Taxonomy*/,20946444/*In-Market > Electronics > Computers > Laptops*/",2,"targeting-sbdminmarketforlaptops_us-csbo-csb_3pofftheshelf_neustar-180-ada-cli_be/em/im, Test-NA-Computers and Laptops-IM_us-csbo-con_3p off-the-shelf_Neustar-Clickagy","46460003, 45957793",37656,*Clickagy Public Taxonomy*,",20946444",*In-Market , Electronics , Computers , Laptops*,,clickagy
25,"25752/*180byTwo_DataDirectory*/,30867925/*180byTwo from Anteriad > B2B > Job Seniority > B: Vice President*/",2,"abm-na_us-mb_abm_neustar-180-ads_fi_d1rwgyoqaik, test_ABM_audience_NSR_JC_032823","46253426, 46253422",25752,*180byTwo_DataDirectory*,",30867925",*180byTwo from Anteriad , B2B , Job Seniority , B: Vice President*,,180bytwo
26,"31561/*Webbula Data Directory*/,38852683/*Interest > Charitable Donations > Humanitarian*/",1,targeting-humanitarianandclimatechange_us-csbo-con_3pofftheshelf_neustar-180-web_be/ge/im/in,46459853,31561,*Webbula Data Directory*,",38852683",*Interest , Charitable Donations , Humanitarian*,,,webbula
27,"14007/*Neustar AdAdvisor - Individual Age Group*/,6942736/*25-29*/",1,targeting-yucconsumers_us-csbo-con_3pofftheshelf_neustar-#hbv-123_be/im,46273717,14007,*Neustar AdAdvisor - Individual Age Group*,",6942736",*25-29*,,,,,adadvisor
28,"25752/*180byTwo_DataDirectory*/,44580469/*180byTwo from Anteriad > B2B Intent > Energy, Construction & Manufacturing > Energy > Climate-Smart Agriculture*/",1,targeting-humanitarianandclimatechange_us-csbo-con_3pofftheshelf_neustar-180-web_be/ge/im/in,46459853,25752,*180byTwo_DataDirectory*,",44580469",*180byTwo from Anteriad , B2B Intent ," Energy, Construction & Manufacturing ", Energy , Climate-Smart Agriculture*/,180bytwo
29,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949605/*Company Size: 100-500 employees*/",1,targeting-telecommutersandsoho_us-csbo-sb_3pofftheshelf_neustar-123-expr_fi,46273716,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949605",*Company Size: 100-500 employees*,,,,,adadvisor
