,Audience Type,Fiscal Quarter,Fiscal Week Year,Country,BU,Audience ID Exists,Segment ID
287,1PD,2023-Q4,2023-W42,Malaysia,B2B,No ID,1
288,1PD,2023-Q4,2023-W42,Netherlands,CSB,No ID,1
289,1PD,2023-Q4,2023-W42,Singapore,B2B,No ID,1
290,1PD,2023-Q4,2023-W42,Spain,CSB,No ID,1
291,1PD,2023-Q4,2023-W42,Sweden,CSB,No ID,1
292,1PD,2023-Q4,2023-W42,Switzerland,CSB,No ID,1
293,1PD,2023-Q4,2023-W42,United Kingdom,CSB,No ID,1
294,1PD,2023-Q4,2023-W42,United States,B2B,No ID,1
295,1PD,2023-Q4,2023-W42,United States,CSB,No ID,2
296,1PD,2023-Q4,2023-W43,Australia,B2B,No ID,1
297,1PD,2023-Q4,2023-W43,Canada,B2B,No ID,1
298,1PD,2023-Q4,2023-W43,Canada,CSB,No ID,2
299,1PD,2023-Q4,2023-W43,France,CSB,No ID,1
300,1PD,2023-Q4,2023-W43,Germany,B2B,No ID,1
301,1PD,2023-Q4,2023-W43,Germany,CSB,No ID,1
302,1PD,2023-Q4,2023-W43,India,B2B,No ID,1
303,1PD,2023-Q4,2023-W43,India,CSB,No ID,1
304,1PD,2023-Q4,2023-W43,Japan,B2B,No ID,1
305,1PD,2023-Q4,2023-W43,Japan,CSB,No ID,2
306,1PD,2023-Q4,2023-W43,Malaysia,B2B,No ID,1
307,1PD,2023-Q4,2023-W43,Netherlands,CSB,No ID,1
308,1PD,2023-Q4,2023-W43,Singapore,B2B,No ID,1
309,1PD,2023-Q4,2023-W43,Spain,CSB,No ID,1
310,1PD,2023-Q4,2023-W43,Sweden,CSB,No ID,1
311,1PD,2023-Q4,2023-W43,Switzerland,CSB,No ID,1
312,1PD,2023-Q4,2023-W43,United Kingdom,CSB,No ID,1
313,1PD,2023-Q4,2023-W43,United States,B2B,No ID,1
314,1PD,2023-Q4,2023-W43,United States,CSB,No ID,2
315,1PD,2023-Q4,2023-W44,Australia,B2B,No ID,1
316,1PD,2023-Q4,2023-W44,Canada,B2B,No ID,1
317,1PD,2023-Q4,2023-W44,Canada,CSB,No ID,2
318,1PD,2023-Q4,2023-W44,France,CSB,No ID,1
